"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Potter, Harry, (Fictitious character)--Fiction","person","016303781","Monograph","Language material ; Text","Volume","GBB326882","9781408834978","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the chamber of secrets","","","","England","London","Bloomsbury","2013","","251 pages, 20 cm","823.92","","Fantasy ; Fiction","English","Originally published: 2004"
"Potter, Harry, (Fictitious character)--Fiction","person","016303782","Monograph","Language material ; Text","Volume","GBB326883","9781408834985","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the prisoner of Azkaban","","Harry Potter series","","England","London","Bloomsbury","2013","","317 pages, 20 cm","823.92","","Fantasy ; Fiction","English","Originally published: 1999"
"Potter, Harry, (Fictitious character)--Fiction","person","016303784","Monograph","Language material ; Text","Volume","GBB326885","9781408835005","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2013","Adult B format edition","766 pages, 20 cm","823.92","","Fantasy ; Fiction","English","Originally published: 2004"
"Potter, Harry, (Fictitious character)--Fiction","person","016303785","Monograph","Language material ; Text","Volume","GBB326886","9781408835012","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the half-blood prince","","","","England","London","Bloomsbury","2013","","607 pages, 20 cm","823.92","H.2014/.6566","Fantasy ; Fiction","English","Originally published: 2005"
"Potter, Harry, (Fictitious character)--Fiction","person","016303786","Monograph","Language material ; Text","Volume","GBB326887","9781408835029","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Deathly Hallows","","","","England","London","Bloomsbury","2013","","607 pages, 20 cm","823.92","","Fantasy ; Fiction","English","Originally published: 2007"
"Potter, Harry, (Fictitious character)--Fiction","person","017380630","Monograph","Language material ; Text","Volume","GBB569847","9781408865279","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter & the philosopher's stone","Harry Potter and the philosopher's stone","The Harry Potter series","","England","London","Bloomsbury","2015","","331 pages, illustrations, 21 cm","823.92","YKL.2016.a.3696","Fantasy ; Fiction","English",""
"Potter, Harry, (Fictitious character)--Fiction","person","017380631","Monograph","Language material ; Text","Volume","GBB569848","9781408865408","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter & the chamber of secrets","Harry Potter and the chamber of secrets","","","England","London","Bloomsbury","2015","","359 pages, illustrations, 21 cm","823.92","Nov.2016/1599","Fantasy ; Fiction","English","Originally published: 1998 ; illustrations on lining papers"
"Potter, Harry, (Fictitious character)--Fiction","person","017380632","Monograph","Language material ; Text","Volume","GBB569849","9781408865415","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter & the prisoner of Azkaban","Harry Potter and the prisoner of Azkaban","The Harry Potter series","","England","London","Bloomsbury","2015","","461 pages, illustrations, 21 cm","823.92","YKL.2016.a.3697","Fantasy ; Fiction","English",""
"Potter, Harry, (Fictitious character)--Fiction","person","017380633","Monograph","Language material ; Text","Volume","GBB569850","9781408865422","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter & the goblet of fire","Harry Potter and the goblet of fire","The Harry Potter series","","England","London","Bloomsbury","2015","","616 pages, illustrations, 21 cm","823.92","YKL.2016.a.3700","Fantasy ; Fiction","English",""
"Potter, Harry, (Fictitious character)--Fiction","person","017380634","Monograph","Language material ; Text","Volume","GBB569851","9781408865439","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter & the Order of the Phoenix","Harry Potter and the order of the phoenix","The Harry Potter series","","England","London","Bloomsbury","2015","","799 pages, illustrations, 21 cm","823.92","YKL.2016.a.3695","Fantasy ; Fiction","English",""
"Potter, Harry, (Fictitious character)--Fiction","person","017380635","Monograph","Language material ; Text","Volume","GBB569852","9781408865446","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter & the half-blood prince","Harry Potter and the half-blood prince","The Harry Potter series","","England","London","Bloomsbury","2015","","541 pages, illustrations, 21 cm","823.92","YKL.2016.a.3699","Fantasy ; Fiction","English","Originally published: 2005"
"Potter, Harry, (Fictitious character)--Fiction","person","017380636","Monograph","Language material ; Text","Volume","GBB569853","9781408865453","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter & the Deathly Hallows","Harry Potter and the Deathly Hallows","The Harry Potter series","","England","London","Bloomsbury","2015","","619 pages, illustrations, 21 cm","823.92","YKL.2016.a.3698","Fantasy ; Fiction","English","Originally published: 2007"
"Potter, Harry, (Fictitious character)--Handbooks, manuals, etc","person","013279930","Monograph","Language material ; Text","Volume","GBA572170","9781571744401","","Beahm, George W.","","person","","Beahm, George W. [person] ; Kirk, Tim, 1947- [person] ; McDaniel, Birtton [person]","Fact, fiction, and folklore in Harry Potter's world : an unofficial guide","","","","England ; United States of America","Charlottesville, Virginia ; Enfield","Airlift ; Hampton Roads","2005","","xix, 256 pages, illustrations, 22 cm","823.914","YK.2007.a.21378","Handbook or manual","English",""
"Potter, Harry, (Fictitious character)--Handbooks, manuals, etc","person","018138732","Monograph","Language material ; Text","Online resource","GBB6K5931","9781429544672 ; 9781429544702 ; 9781440636615","","Stouffer, Tere","","person","","Stouffer, Tere [person]","The complete idiot's guide to the world of Harry Potter","World of Harry Potter","The complete idiot's guide","","United States of America","New York","Alpha","2008","","1 online resource, illustrations","823.914","ELD.DS.104624","Criticsm and interpretation ; Handbook or manual","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","006901397","Monograph","Language material ; Text","Volume","GBA3V2642","9780747569640","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2003","","5 volumes (various pagings)","823.914","","Children's fiction","English","In slip case"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","006901398","Monograph","Language material ; Text","Volume","GBA3V2643","9780747569633","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2003","Special edition","5 volumes (various pagings)","823.914","","Children's fiction","English","In slip case"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","006908062","Monograph","Language material ; Text","Volume","GBA1W2294","9780747557012","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter","","","","England","London","Bloomsbury","2001","","4 volumes (various pagings), 20 cm","823.914","","Children's fiction","English","In slip case"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","006951333","Monograph","Language material ; Text","Volume","GBA4Y4945","9780747573760","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the prisoner of Azkaban","","","","England","London","Bloomsbury","2004","","1 volume, 23 cm","823.914","","Children's fiction ; Fantasy","English","Originally published: 1999"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","007716562","Monograph","Language material ; Text","Volume","GBA0X9316","9780747546245","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter no. 4","","","","England","London","Bloomsbury","2000","","320 pages, 20 cm","823.914","","Children's fiction","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","007716563","Monograph","Language material ; Text","Volume","GB99U6427","9780747546290","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the prisoner of Azkaban","","","","England","London","Bloomsbury","2000","","317 pages, 20 cm","823.914","","Children's fiction","English","Originally published: 1999"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","007716636","Monograph","Language material ; Text","Volume","GBA1Y3714","9780747550990","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the goblet of fire","","","","England","London","Bloomsbury","2001","","636 pages, 20 cm","823.914","","Children's fiction","English","Originally published: 2000"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","007716637","Monograph","Language material ; Text","Volume","GBA3X7389","9780747551003","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the order of the phoenix","","","","England","London","Bloomsbury","2003","","768 pages","823.914","","Children's fiction","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","007716706","Monograph","Language material ; Text","Volume","GBA1Z4498","9780747554561","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2001","Large print edition","456 pages (large print), 24 cm","823.914","LT.2013.x.1444","Children's fiction ; Large print","English","Originally published: 1997"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","007716763","Monograph","Language material ; Text","Volume","GBA1W5783","9780747558194","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2001","Celebratory edition","224 pages, 20 cm","823.914","","Children's fiction","English","Previous edition: 1998"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","007716800","Monograph","Language material ; Text","Volume","GBA2X2330","9780747560722","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the chamber of secrets","","","","England","London","Bloomsbury","2002","Large print edition","506 pages (large print), 25 cm","823.914","LT.2013.x.4132","Children's fiction ; Large print","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","007716801","Monograph","Language material ; Text","Volume","GBA2X2329","9780747560777","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the prisoner of Azkaban","","","","England","London","Bloomsbury","2002","Large print edition","640 pages (large print), 25 cm","823.914","LT.2013.x.2380","Children's fiction","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","007716802","Monograph","Language material ; Text","Volume","GBA2X2328","9780747560821","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the goblet of fire","","","","England","London","Bloomsbury","2002","Large print edition","1088 pages (large print), illustrations, 24 cm","823.914","LT.2013.x.1950","Children's fiction","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","007716809","Monograph","Language material ; Text","Volume","GBA4X8996","9780747561071","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2004","","766 pages, 20 cm","823.914","","Children's fiction ; Fantasy","English","Originally published: 2003"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","007717004","Monograph","Language material ; Text","Volume","GBA3V2644","9780747569619","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2003","Special edition","1 volume","823.914","","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","007978627","Monograph","Language material ; Text","Volume","","9789667047405","","Rowling, J. K.","","person","","Andrukhovych, Sofii︠a︡, 1982- [person] ; Morozov, Viktor [person] ; Malkovych, Ivan, 1961- [person] ; Rowling, J. K. [person] ; Nehrebet︠s︡ʹkyĭ, Oleksa [person]","Harri Potter i kelykh vohni︠u︡","Harry Potter and the goblet of fire. Ukrainian","","","Ukraine","Kyïv","A-Ba-Ba-Ha-La-Ma-Ha","2003","","669 pages, 21 cm","","YA.2003.a.41307","Children's fiction","Ukrainian",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","009721120","Monograph","Language material ; Text","Volume","GBA0V0504","9781903111185","","Gillatt, Gary","","person","","Gillatt, Gary [person]","The magical world of Harry Potter : the unauthorised guide to the adventures of Harry Potter","","","","England","Richmond","Reynolds & Hearn","2001","","160 pages, illustrations, 20 cm","823.914","","Children's fiction","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","009893249","Monograph","Language material ; Text","Volume","","9780439136358","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the prisoner of Azkaban","","","","United States of America","New York","Arthur A. Levine","1999","","ix, 435 pages, illustrations, 24 cm","","YA.2000.a.7023","Children's fiction","English","Sequel to: Harry Potter and the Chamber of Secrets"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","009893251","Monograph","Language material ; Text","Volume","","9780590353403","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the sorcerer's stone","Harry Potter and the philosopher's stone","","","United States of America","New York","A.A. Levine","1998","","vi, 309 pages, illustrations, 24 cm","","YA.2000.a.7024","Children's fiction","English","Sequel: Harry Potter and the Chamber of Secrets"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","009893970","Monograph","Language material ; Text","Volume","","9780439064866","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the chamber of secrets","","","","United States of America","New York","Arthur A. Levine","1999","","341 pages, illustrations, 24 cm","","YA.2000.a.15899","Children's fiction ; Fantasy","English","Originally published: London : Bloomsbury, 1998"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","010089956","Monograph","Language material ; Text","Volume","GB99Y5741","9780747542155","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the prisoner of Azkaban","","","","England","London","Bloomsbury","1999","","317 pages, 21 cm","823.914","Nov.1999/940","Children's fiction","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","010090019","Monograph","Language material ; Text","Volume","GB99Y5738","9780747544074","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the chamber of secrets","","","","England","London","Bloomsbury","1999","","251 pages, 20 cm","823.914","H.2000/1727","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","010090075","Monograph","Language material ; Text","Volume","GB9961532","9780747545118","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the prisoner of Azkaban","","","","England","London","Bloomsbury","1999","","317 pages, 21 cm","823.914","C.194.b.216","Children's fiction","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","010090222","Monograph","Language material ; Text","Volume","GBA123175","9780747549710","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the goblet of fire","","","","England","London","Bloomsbury","2000","","636 pages, 25 cm","823.914","Nov.2001/656","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","010090389","Monograph","Language material ; Text","Volume","GBA137761","9780747554424","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the goblet of fire","","Harry Potter series","","England","London","Bloomsbury","2001","","796 pages, 18 cm","823.914","H.2001/2959","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","010090629","Monograph","Language material ; Text","Volume","GBA339558","9780747561965 ; 9781582348254","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Needham, Peter [person]","Harrius Potter et philosophi lapis","Harry Potter and the philosopher's stone. Latin","","","England","London","Bloomsbury","2003","","249 pages, 21 cm","823.914","Nov.2003/952","Children's fiction ; Fantasy","Latin",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","010090758","Monograph","Language material ; Text","Volume","GBA3X7384","9780747569404","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the order of the phoenix","","","","England","London","Bloomsbury","2003","","766 pages, 21 cm","823.914","Nov.2003/1359","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","010268925","Monograph","Language material ; Text","Volume","GBB0D2787","9780747569602","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2003","Large print edition","1520 pages (large print), 25 cm","823.914","LT.2010.x.3629","Children's fiction ; Fantasy ; Large print","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","012266171","Monograph","Language material ; Text","Volume","GBA2Z5833","9780563533603","","","","","","","Harry Potter transfiguration book : with magical changing pictures","","","","England","London","BBC Children's","2002","","10 pages, colour illustrations, 25 cm","823.914","CLE.4/2002.b.21","Children's fiction ; Toy or moveable book","English","Lift the flap"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","012283123","Monograph","Language material ; Text","Volume","GBA0V9472","9781585980734","","","","","","","Harry Potter collectables","","","","England","","Checkerbee","2000","","160 pages","823.914","","","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","012880160","Monograph","Language material ; Text","Volume","GBA4X0860","9780747568971 ; 9781582348261","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2004","","","823.914","","Children's fiction ; Fantasy","Greek, Ancient (to 1453)",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","012880167","Monograph","Language material ; Text","Volume","GBA4X0853","9780747571667 ; 9781582348285","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter agus an órchloch","Harry Potter and the philosopher's stone. Irish","","","England","Londain ; Nua-Eabhrac","Bloomsbury","2004","Leagan Gaeilge","262 pages, 21 cm","823.914","YK.2006.a.11050","Children's fiction ; Fantasy","Irish","Originally published [in English] : 1997"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","012943214","Monograph","Language material ; Text","Volume","GBA448096","9780747574477","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2004","","332 pages, 18 cm","823.914","H.2005/1621","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","012943216","Monograph","Language material ; Text","Volume","GBA448098","9780747574491","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the prisoner of Azkaban","","","","England","London","Bloomsbury","2004","","468 pages, 18 cm","823.914","H.2005/1743","Children's fiction ; Fantasy","English","Originally published: 1999"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","012943217","Monograph","Language material ; Text","Volume","GBA448099","9780747574507","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the goblet of fire","","","","England","London","Bloomsbury","2004","","796 pages, 18 cm","823.914","H.2006/288","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013131824","Monograph","Language material ; Text","Volume","","9789667047368","","Rowling, J. K.","","person","","Morozov, Viktor [person] ; Malkovych, Ivan [person] ; Rowling, J. K. [person]","Harri Potter i v'i︠a︡zenʹ Azkabanu","Harry Potter and the prisoner of Azkaban. Ukrainian","","","Ukraine","Kyïv","A-Ba-Ba-Ha-La-Ma-Ha","2002","","381 pages, 21 cm","","YF.2005.a.10435","Children's fiction","Ukrainian",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013179922","Monograph","Language material ; Text","Volume","GBA533311","9780747581086","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the half-blood prince","","","","England","London","Bloomsbury","2005","","607 pages","823.914","Nov.2006/97","Children's fiction ; Fantasy","English","Childrens edition"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013185310","Monograph","Language material ; Text","Volume","GBA536082","9780747581529","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the half-blood prince","","","","England","London","Bloomsbury","2005","Large print edition","998 pages (large print), illustrations, 25 cm","823.914","LT.2010.x.1327","Children's fiction ; Fantasy ; Large print","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013274320","Monograph","Language material ; Text","Volume","GBA568985","9780747582380","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the goblet of fire","","","","England","London","Bloomsbury","2005","","1 volume","823.914","","Children's fiction ; Fantasy","English","Originally published: London: Bloomsbury, 2000"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013430907","Monograph","Language material ; Text","Volume","","9789667047290","","Rowling, J. K.","","person","","Morozov, Viktor [person] ; Rowling, J. K. [person]","Harri Potter i napivkrovnyĭ prynt︠s︡","Harry Potter and the half-blood prince. Ukrainian","","","Ukraine","Kyïv","A-Ba-Ba-Ha-La-Ma-Ha","2006","","574 pages, 21 cm","","YF.2007.a.21134","Children's fiction","Ukrainian",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013462303","Monograph","Language material ; Text","Volume","","9789667047344","","Rowling, J. K.","","person","","Morozov, Viktor [person] ; Rowling, J. K. [person]","Harri Potter i tai︠e︡mna kimnata","Harry Potter and the chamber of secrets. Ukrainian","","","Ukraine","Kyïv","A-Ba-Ba-Ha-La-Ma-Ha","2002","","344 pages, 21 cm","","YF.2006.a.17852","Children's fiction","Ukrainian",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013462304","Monograph","Language material ; Text","Volume","","9789669608864","","Rowling, J. K.","","person","","Morozov, Viktor [person] ; Rowling, J. K. [person]","Harri Potter i filosofsʹkyĭ kaminʹ","Harry Potter and the philosopher's stone. Ukrainian","","","Ukraine","Kyïv","A-Ba-Ba-Ha-La-Ma-Ha","2002","","314 pages, 21 cm","","YF.2006.a.17850","Children's fiction","Ukrainian",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013462309","Monograph","Language material ; Text","Volume","","9789667047429","","Rowling, J. K.","","person","","Morozov, Viktor [person] ; Malkovych, Ivan [person] ; Rowling, J. K. [person] ; Nehrebet︠s︡ʹkyĭ, Oleksa [person]","Harri Potter i Orden Feniksa","Harry Potter and the Order of the Phoenix. Ukrainian","","","Ukraine","Kyïv","A-Ba-Ba-Ha-La-Ma-Ha","2003","","815 pages, 21 cm","","YF.2006.a.17851","Children's fiction","Ukrainian",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013476123","Monograph","Language material ; Text","Volume","GBA649965","9780747584681","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the half-blood prince","","","","England","London","Bloomsbury","2006","","607 pages, 20 cm","823.914","","Children's fiction ; Fantasy","English","Originally published: London: Bloomsbury, 2005"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013507712","Monograph","Language material ; Text","Volume","GBA660759","9780747586678","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter paperback boxed set","","","","England","London","Bloomsbury","2006","","6 volumes, 20 cm","823.914","","Children's fiction","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013601910","Monograph","Language material ; Text","Volume","GBA696366","9780747588771","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the chamber of secrets = Harry Potter et camera secretorum","Harry Potter et camera secretorum","","","England","London","Bloomsbury","2007","Latin edition","1 volume","823.914","","Children's fiction ; Fantasy","English ; Latin","Originally published: 1998"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013601913","Monograph","Language material ; Text","Volume","GBA696369","9780747589945","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2007","","1 volume","823.914","","Children's fiction ; Fantasy","English","Originally published: 1997"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013678137","Monograph","Language material ; Text","Volume","GBA714262","9780747591269","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2007","","1 volume, 21 cm","823.914","","Children's fiction ; Fantasy","English","Originally published: 2003"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013694376","Monograph","Language material ; Text","Volume","GBA720510","9780747591054","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the deathly hallows","","","","England","London","Bloomsbury","2007","","1 volume","823.914","","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013767346","Monograph","Language material ; Text","Volume","GBA745306","9780747593683","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter","","","","England","London","Bloomsbury","2007","Special edition","7 volumes","823.914","","Children's fiction","English","In slip case"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013767347","Monograph","Language material ; Text","Volume","GBA745307","9780747593690","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter","","","","England","London","Bloomsbury","2007","","7 volumes","823.914","","Children's fiction","English","In slip case"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","014589596","Monograph","Language material ; Text","Volume","GBA856748","9780747595830","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the deathly hallows","","","","England","London","Bloomsbury","2008","","1 volume, 20 cm","823.914","","Children's fiction ; Fantasy","English","Originally published: 2007"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","014752993","Monograph","Language material ; Text","Volume","","9788877827029","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Riglietti, Serena [person]","Harry Potter e la pietra filosofale : romanzo","Harry Potter and the philosopher's stone. Italian","","","Italy","Milano","A. Salani","2008","1st edition","293 pages, illustrations, 21 cm","823.914","YK.2011.a.33194","Children's fiction ; Fantasy ; Fiction","Italian","Sequel: Harry Potter e la Camera dei Segreti ; Translated from the English"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","014834209","Monograph","Language material ; Text","Volume","GBB285780","9780747595861","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the Deathly Hallows","","","","England","London","Bloomsbury","2007","","831 pages, 18 cm","823.92","H.2012/.8880","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","016692998","Monograph","Language material ; Still image ; Text ; Three-dimensional form","Object ; Volume","GBB527503","9780762452415","","","","","","","Lord Voldemort's wand : with sticker kit","","","","United States of America","Philadelphia, Pennsylvania","Running","2014","","8 unnumbered leaves, 1 wand (2 pieces), 1 stand, chiefly colour illustrations, box (10 x 8 x 5 cm)","823.914","YKL.2015.a.3017","Children's fiction ; Specimen","English","'Ages 6 & up'--Box ; Assembles into an eight-inch light-up replica wand (batteries included) which is held in a stand shaped as a snake, together with a book of photographic stickers, all in box ; At head of title: Harry Potter ; Title from box"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017470711","Monograph","Language material ; Still image ; Text","Volume","GBB5A4313","9781408845646 ; 9781408845653 ; 9781408885109","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Rowling, J. K. [person] ; Kay, Jim, illustrator [person]","Harry Potter and the philosopher's stone : Harry Potter and the chamber of secrets","Harry Potter and the chamber of secrets ; Harry Potter and the philosopher's stone ; Novels. Selections","","","England","London","Bloomsbury","2015","","2 volumes, colour illustrations, 28 cm","823.92","LC.31.b.16061","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017595894","Monograph","Language material ; Still image ; Text","Volume","GBB623506","9781408871874","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Kay, Jim, illustrator [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2015","Deluxe illustrated slip case edition","245 pages, colour illustrations, 33 cm + 1 poster (folded)","823.92","LC.31.b.15084","Children's fiction","English","Includes poster entitled: Diagon Alley North side ; Text originally published: 1997 ; edition statement from publisher's website ; illustrations on endpapers"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017611420","Monograph","Language material ; Text","Volume","GBB5G2346","9781408869116","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Needham, Peter, translator [person]","Harrius Potter et camera secretorum","Harry Potter and the chamber of secrets. English","","","England","London","Bloomsbury","2016","","277 pages, 20 cm","823.92","","Children's fiction ; Fantasy","Latin","Translated from the English"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017809968","Monograph","Language material ; Text","Online resource (ebook)","GBB656002","9781781100219","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the philosopher's stone","","Harry Potter","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408855898 ; Previously issued in print: London: Bloomsbury, 1997"
